text,title
回放CCTV2的消费主张,Weather-Query
给我打开玩具房的灯,TVProgram-Play
循环播放赵本山的小品相亲来听,Calendar-Query
15号上午10点带孩子去海洋馆的行程帮我制定下。,Alarm-Update
把智能扫地机器人关掉,Radio-Listen
帮我续播16集摩天大楼,Music-Play
放美国电影史密斯夫妇给我看,Audio-Play
放刘禹锡的浪淘沙来听,Audio-Play
查看6月6日是农历几月几号,Music-Play
放一个讲述美食的美国纪录片来看,Weather-Query
周日上午10点左右陪妈妈逛街的行程提醒我一下。,Weather-Query
刘德华翻唱过的经典老歌都有哪些，尤其是70年代的,HomeAppliance-Control
看一下怎么去仙游有汽车还是火车那个快,HomeAppliance-Control
非常6+1-2021-20节目想回看一下,Radio-Listen
收听频率是九七点四的中国歌曲排行榜,Weather-Query
明天下午的备忘录请给我全部关闭，不要让它再提醒,Alarm-Update
王力宏在重庆开演唱会的视频放来看一下,Travel-Query
明天紫外线强不强,HomeAppliance-Control
今儿这风是5级还是7级,FilmTele-Play
发表感言章子怡数次哽咽,Music-Play
我想看5月9日兹维列夫对蒂姆的网球比赛视频,FilmTele-Play
给我放推理剧的天道可以吗,Radio-Listen
钱塘江最近会不会下大暴雨,FilmTele-Play
提醒我海南气温升高,FilmTele-Play
刚被联合国封为地球卫士的周迅穿得很低碳,HomeAppliance-Control
我不想睡觉我想聊天说话,Video-Play
我想看今天的体育台播了啥，帮我找一下,HomeAppliance-Control
我想看2017年李荣浩和杨丞琳在演唱会上演唱的年轮说的视频,TVProgram-Play
我想听邵帅唱的驻马店,Audio-Play
现在给我建一个日程下午2点去邮局买邮票,Radio-Listen
没想到的是严立恒实则与夏友善是同父异母的姐弟,HomeAppliance-Control
我把赵英俊的送你一朵小红花下载下来循环播放,Video-Play
音乐台的话给我找河南音乐广播,FilmTele-Play
播放邓紫棋唱歌的视频,FilmTele-Play
看一下北京文艺广播的今晚我们说电影还在播不,HomeAppliance-Control
我想看单依纯在为歌而赞唱的如此的纯享版音乐视频,Travel-Query
我超级想看2020年张大仙王者荣耀录播的游戏视频,Alarm-Update
给我找一下中国电视剧觉醒年代的拍戏花絮,Audio-Play
白冰冰写给女儿的信中提到四月一四日唉,Music-Play
美食纪录片生活如沸给我找一下,Music-Play
广州湿度如何,Calendar-Query
现在请收听频率是一零三点九的路况信息,Alarm-Update
冰箱冷冻室温度调成零下19度吧,Video-Play
赵菲儿的专辑欠我一次旅行播放,Weather-Query
播放2021年春晚小品开往春天的幸福开车听,TVProgram-Play
赶紧给我查查什么节日是7月1日啊,Audio-Play
明天12点的时候请通知我关闭王者荣耀,Calendar-Query
气场十足女王头衔当之无愧,TVProgram-Play
据悉北京二中院已受理此上诉案,Travel-Query
GPRS套餐什么时候开始计费,Audio-Play
我想去悉尼歌剧院，请问那趟航班最快。,Weather-Query
电影杀死比尔的制片人班内特沃尔什说,Video-Play
南昌穿啥衣服好,Video-Play
播一下广播剧犯罪心理第一季,Calendar-Query
黑龙江卫视的新闻在线播放一下实时新闻,Radio-Listen
今年的妇女节是什么时候,HomeAppliance-Control
我想听孔刘等待的20时,Video-Play
我需要知道15点有珠海始发去汕尾的大巴车不,Radio-Listen
给我循环播放李商隐的夜雨寄北我想听,HomeAppliance-Control
东莞早上七点能下中雨不,Travel-Query
查询廊坊周日会不会刮风,Music-Play
继续看张铁林的铁齿铜牙纪晓岚吧,Calendar-Query
播放破云广播剧,FilmTele-Play
十点钟的蒙面唱将猜猜猜在哪个电视播放？帮我看下,FilmTele-Play
乐思购物直播节目是在今天十八点播放吗帮我看下,HomeAppliance-Control
我想听姚博的交通新闻,Music-Play
查看一下2021年5月26播出的国防故事,Music-Play
QQ空间打不开怎么办,Weather-Query
5月22日下午3点深圳战佛山的kpl春季赛视频快给我放一下,Audio-Play
可以来播放一会今年的偶像剧吗,HomeAppliance-Control
你给我来一首热血沸腾的歌曲行不行,Calendar-Query
吃立节是什么时候,Other
我平时不会水呀可这回我却是往大海里闯况且还是在晚上,Alarm-Update
文艺类的天津人民广播电台文艺台收听一下,Video-Play
明天有位从韩国进修回来的专家老师过来哦,Other
放一个惊悚小说地狱公寓来听,Travel-Query
查询一下爸爸去哪的相关视频,Other
用安卓市场下载豆瓣阅读,Calendar-Query
随便播一个2021年晚上22点更新的动漫,Travel-Query
据说每天吃一瓣儿新鲜蒜头脸上可保不再见粉刺,FilmTele-Play
重复播放推理小说占星术杀人魔法的第三章,Music-Play
从北京最快通往新疆的飞机是多久,Alarm-Update
单曲循环英文版的吻别呢,Radio-Listen
打开吸尘器，我要打扫卫生,TVProgram-Play
给我续播西游记原著第五十二集听,Video-Play
5月23号的蔚蓝星球纪录片给找下,Music-Play
怎么样自驾车去成都即快又不堵车呢,Other
圣诞除夕分别是星期几,Travel-Query
夏永康表示数年间有很大转变变得越来越性感,HomeAppliance-Control
播放一首张小九的余香听听,FilmTele-Play
把从天坛到北京火车站的步行和骑车路线都给我,Other
提醒我今天下午1点30分上网课的行程。,Alarm-Update
我想你现在就播放一个去年新出的玄幻剧给我看,Music-Play
回放下这个台昨天放的越战越勇,Calendar-Query
给我唱一首2008年的奥运会的主题曲吧,Travel-Query
今天晚上韶关附近有没有东风,Alarm-Update
祭谷神节是什么时候,Calendar-Query
正点财经在哪个频道播出？往期视频回放一下啊,Calendar-Query
请给我播放杜牧的诗词,Calendar-Query
播放四川广播电台的新闻联播,Calendar-Query
我就是不知道手机号码而且家里又只有我的手机,Audio-Play
萧亚轩演英雌救帅跟洪金宝儿子学武功组图,Radio-Listen
为我放首侍神令影视原声碟专辑中的笛子吹奏轻音乐庭院,Video-Play
很想看俄罗斯的电视剧推荐视频随便播一个给我,FilmTele-Play
请用英文播放小意达的花儿这个故事,FilmTele-Play
请帮我设置一个后天早上9点开始三周年庆典的闹钟。,Video-Play
他是不是对你有意思啊,FilmTele-Play
谁会是最期待的零点嘉宾,Travel-Query
五月初下午会刮大风吗,FilmTele-Play
昆明去年下冰雹了吗,HomeAppliance-Control
我要循环的听小猪学本领这个故事,Video-Play
我要听法语版的樵夫与仙女的故事,Travel-Query
准备做美食了，帮我打开蒸烤箱吧,FilmTele-Play
关闭今天8点的日程,Alarm-Update
给我打开前天更新的绝世战魂的第36集,HomeAppliance-Control
二零一三年一月一号限行不,Other
给我播放仙侠类的有声漫画,Music-Play
我想再看一遍周三电视播出的妈妈为我嫁,FilmTele-Play
2月14日是农历几月几号,Calendar-Query
今天给我一部张艺谋拍的纪录片看一看,FilmTele-Play
陈法拉生日男友送相机闻诸葛梓岐即封口图,Other
删除这个2个小时后关闭快手的备忘录,TVProgram-Play
今年的萝卜节是星期几,Audio-Play
我要听搞笑相声人在黑社会,Video-Play
广西都市4月21日上午八点播放的是什么节目帮我看下,FilmTele-Play
5月1日的今日说法帮忙打开一下。,Calendar-Query
查下还有明天去北京的汽车票吗,Calendar-Query
现在给我放一个英文版的稻草人的小故事,Alarm-Update
你先可以给我定一个50分钟之后的闹铃,FilmTele-Play
广播剧微微一笑很倾城的番外帮我播一下,FilmTele-Play
立刻告诉我答案6月18日是阴历多少,TVProgram-Play
上个星期一播出的天天网事给我回放一下,Music-Play
我的话费每月交五十不管打不打都一样收费,Audio-Play
放一下钟汉良在2019年央视春晚上唱歌的视频,Calendar-Query
放岳云鹏孙越的爆笑相声我们不一样听听看,HomeAppliance-Control
关晓彤在2021北京卫视跨年演唱会上的表演视频给我回放一下,Audio-Play
明天早晨要去晨跑，天气大概多少度？,HomeAppliance-Control
我想听戴萌版本的how we do it,Travel-Query
请给我循环播放隔壁老樊的中文歌世本常态。,Calendar-Query
谁对谁错每个看到事实的人心中都有一杆秤,FilmTele-Play
告诉我一下厦门飞往伦敦的航班明天有票不,Alarm-Update
上个月的26号体育赛事帮我回放下吧,Calendar-Query
狼殿下请播放最新更新的几集,TVProgram-Play
帮我创建个下周上午10点多开始双十二预热活动的闹钟。,Other
我侄女想看公共卫视昨天播放过的战魂,FilmTele-Play
星期一是几号呢,HomeAppliance-Control
将客厅灯光调为温馨模式好么,Radio-Listen
闫妮叫自己的粉丝为娃很多场合她都会说感谢闫帮的娃对我的支持,Alarm-Update
陶虹顺产千金取名徐小宝老公徐峥傻笑图,FilmTele-Play
请不要在5月20号提醒我去找我朋友玩,Music-Play
近日徐帆在接受探班记者采访时对于丈夫的赞美照单全收,Travel-Query
查一下这月雄安风从哪刮来的,FilmTele-Play
我们一起听毛不易的消愁吧,TVProgram-Play
好冷，帮我把空调的温度调高一点,Alarm-Update
戏曲频道8点38生活早参考-特别节目查找出来播放一下,Music-Play
你赶快查下星期四是哪天呢,Video-Play
CSGO比赛的视频播一下,Travel-Query
放一下2020年春晚韩雪的小品爱在路上等会听,Calendar-Query
你能给我播放18年电影西红柿首富吗,FilmTele-Play
帮我找下有没有关于北京的纪录片,Radio-Listen
给小朋友们放一个北京文艺广播的开心茶馆,Travel-Query
能帮我新增一个周六晚上23点的闹铃吗,FilmTele-Play
张黎答保守期望收回成本票房最好多多益善,Alarm-Update
请接着给我续播著名小说包法利夫人的第三章英文版的,Alarm-Update
一个小时后关闭厨房的灯,Other
调频收听孙畅的新闻天天谈,Music-Play
我想看湖南卫视青春剧场的刘诗诗主演的亲爱的自己,TVProgram-Play
催眠的歌曲给我随机来几首,Radio-Listen
我要查1月1日去西安的火车票。,Weather-Query
立即查一下阴历的几月几号是8月4日啊,Radio-Listen
周六下午2点半送孩子上钢琴课的备忘录设定一下。,Weather-Query
帮我把空调设置为制冷模式好吗,Music-Play
本报讯记者康沛郭延冰前晚光线娱乐大典在人大如论讲堂举行,FilmTele-Play
帮我记一下5月30号下午2点去买水果,Calendar-Query
明天5:15不要忘了提醒我给我哥发微信,Travel-Query
下周三到周五宁波那边有雨吗,TVProgram-Play
赶快查下星期二是多少号呢,Other
关掉扫地机器人，让它停止工作,Video-Play
我现在想新增一个1月27号凌晨三点的闹钟,Radio-Listen
悬崖之上是谁唱的视频播放一下,HomeAppliance-Control
只是不知道今年老赵还能为大家的年夜饭端上一盘啥菜,Music-Play
定一个周三下午5点教室打扫的提醒。,FilmTele-Play
创建一个25号买飞机票的日程,Weather-Query
抽烟机关了，帮我开一下，我要用,FilmTele-Play
请给我续播德国小说阴谋与爱情的第三章德语版的,Audio-Play
想喝皮蛋瘦肉粥了，帮我切换到电饭煲的煮粥模式好吗,HomeAppliance-Control
你可真行昨天又买了几件衣服,Video-Play
放麦琪的礼物这部小说的英文版来给我们听一下,Audio-Play
想听专辑了，就听我的世界守则吧，王一博的,Calendar-Query
帮我看看5月4日是阴历多少,Video-Play
你能给我来一部去年的电视剧燕云台吗,Video-Play
找出5.31日23点30播出的动漫,Travel-Query
周末句容不会有暴风雪吧,FilmTele-Play
回放一下早上9点28播放的绝密使命第三集,Radio-Listen
你几号的飞机票回去来着,FilmTele-Play
查询CA四幺零幺和CA四幺幺三的状态,Radio-Listen
放一首小提琴曲梁祝,Audio-Play
能播放一下唐嫣和钟汉良的何以笙箫默吗,Video-Play
帮我把空调温度调到18度好不好呀,Audio-Play
还有一个星期就元旦了,Radio-Listen
喵多哩新剧场是不是在10点就结束了帮我看下,FilmTele-Play
现在股市这样我又不舍得放也不敢再入市,Alarm-Update
播放河北音乐广播依然动听,FilmTele-Play
凄美悬疑又带点喜剧色彩的文艺片如梦将由香港大导罗卓瑶掌镜,Alarm-Update
我附近有自动取款机吗,Calendar-Query
你做的事情很杂像个社会活动家,Alarm-Update
陈楚生与天娱官司缠身,Weather-Query
一分钱太有名了为此潘振声有了一分钱爷爷这个雅号,HomeAppliance-Control
二有背景的妖怪都被救走,Video-Play
麻烦问一下清明节是什么时候,HomeAppliance-Control
在4月10号记得提醒我缴宽带费,HomeAppliance-Control
巴彦淖尔交通广播正在播放的家有儿女节目快帮我放一下,TVProgram-Play
我要听俄语版的哈姆莱特,Calendar-Query
把冰箱的制冷模式打开吧,Radio-Listen
能来一个频率是九四点七的经典947吗,Music-Play
招行网银怎么买理财产品,HomeAppliance-Control
帮我打开客厅的灯怎么样,Video-Play
林熙蕾他的戏比较阳刚但女演员也是必要的,Calendar-Query
提醒我20号上午做美容,Video-Play
之后将是历时一年的拍摄期,Radio-Listen
帮我查一查广州明天的温度是多少。,Other
立刻让我知道今天有焦作始发的大巴吗,Video-Play
听会儿宁鹏的I到黎明时在FM95点5,Audio-Play
阿拉伯语的治愈歌曲来一首呢,Radio-Listen
我想问一下昨天是几号,Radio-Listen
好歹可以让歌迷们用来暂时解一下难耐的饥渴,Other
帮我查下我老婆现在在哪里,Weather-Query
我现在想听体育类的广播，给我调到南京体育广播,Other
给我播放一下公共台的中医养生堂,Calendar-Query
播放一下CCTV1生活提示的上期回放,Alarm-Update
2021年龚俊唱歌的视频找一个出来,Other
帮我查询一下十点到上海的机票还有吗,FilmTele-Play
黑色幽默引发理性思考贾樟柯微博说火车快开最配王宝强,FilmTele-Play
帮我我找到陕西戏曲广播按时间顺序播放里面的花鼓戏节目,Other
设置每天7点半的闹铃备注点电子运维,Music-Play
把唐嫣主演的锦绣未央放一下,Music-Play
播放广播剧全球高考,FilmTele-Play
感谢分享生活有你更精彩,FilmTele-Play
制定个明天上午8点看妇产科医生的闹钟。,Alarm-Update
我想听九三点九的江浦人民广播电台,Other
再定一个10点05的闹钟,Other
生日快乐 从第一个挨个儿放,TVProgram-Play
最近一周重庆会有大风出现吗,HomeAppliance-Control
按顺序播放动漫唯我独尊的全部35集,HomeAppliance-Control
给我播放下贾玲和张小斐拍摄你好李焕英的现场花絮,Weather-Query
三国演义能继续看吗,Video-Play
昨天的足球甲级联赛运动员采访视频有吗,Music-Play
接着给我续播小时代原著书里的第二十集,Calendar-Query
我想看一下广西二手车信息,HomeAppliance-Control
有声小说第一序列播放一下,Weather-Query
高以翔和焦俊艳演的那个遇见王沥川我想看看,Other
医师资格考试报名网址,FilmTele-Play
帮我改一下9号上午备忘录,Travel-Query
查询一下去牡丹江的机票还有几张,FilmTele-Play
频率是一零一点七的动感101听一下吧,FilmTele-Play
石景山区鲁谷村小区房价,Radio-Listen
打开江苏教育，想看下江南文脉了解江南文化,HomeAppliance-Control
不要开启周一到周三的闹铃,HomeAppliance-Control
明天你要提醒我烧香,FilmTele-Play
我想看新闻频道的法制在线帮我回放一下往期视频,TVProgram-Play
找一下最近的咖啡店怎么走,FilmTele-Play
帮我播放一下爱在星空下麻烦放一下,TVProgram-Play
给我放一下2020年山东春晚小品想说爱你不容易听一下,Other
帮我播个剧让我听懂你的语言,Travel-Query
四夜奇谭点击破二一亿开创网络电影元年图,TVProgram-Play
找一下乡野下饭魂纪录片吃饭可以看,Travel-Query
揭秘黄奕霍思燕三角情债娱乐圈女星恩怨不休,Video-Play
放一个猴子捞月亮的故事给我听吧,Alarm-Update
扫地机器人现在关机吧，我想安静一会,Radio-Listen
沈阳近期有雨吗,Video-Play
闹钟设成工作日早上六点起床,Other
播放一个文彩元主演的电视剧的介绍视频,Weather-Query
听听安徽人民广播帮我拨一下95点5,Travel-Query
不走高速去昆明怎么走啊,Calendar-Query
下面开始循环播放红鞋这个故事,Video-Play
冰箱冷藏室温度再降两度行不行呀,FilmTele-Play
卧室空调调成28度行不行嘛,Weather-Query
帮我转到今天晚上六点的广西天气预报,Radio-Listen
请帮忙将7月10号的提醒修改为下午2点提醒,Audio-Play
播放50年代的摇滚乐曲,Alarm-Update
德语歌随便给我唱一首吧,Audio-Play
朱丹讳疾忌医家中挨腹痛,Weather-Query
最快到达公司的路线是哪条呢,FilmTele-Play
好久都没有听花粥创作的盗将行了，播放一下哦,Music-Play
晚上外面湿度越来越高，能下大雨不,FilmTele-Play
陈凯歌是电影导师张艺谋激发创作欲,Radio-Listen
找到五十年代的草原之夜然后播放,Radio-Listen
总之他们对的批评一直都没停下来过,Calendar-Query
查下这雨下多久啊,Weather-Query
我可以看看明天海淀的气温指数吗,Weather-Query
在电视剧频道播出的小舍得帮我回放一下,Alarm-Update
明天早上10点40建立备忘录我买杯子,Audio-Play
单曲循环一首英文歌曲吧,Alarm-Update
给我播放2021中国女子足球锦标赛,HomeAppliance-Control
独特内涵受品牌青睐亲民代言受拥护,FilmTele-Play
上星期五的电影频道放的什么帮我倒退一下,FilmTele-Play
播一下晚上22点更新的理想照耀中国的拍摄花絮,Music-Play
立刻找出来Inspiron 灵越 15 Plus的测评视频,Music-Play
找到city party zone电台节目就晚上11点开始的那个,Video-Play
能否帮我把冰箱冷藏室调到4度呢,Radio-Listen
帮我打开南昌新闻综合的每日新闻,Weather-Query
查询明天成都气温如何,Radio-Listen
我想看CCTV1星光大道的上一期节目,FilmTele-Play
希望可以成为你的朋友,Other
能不能帮我建一个3月2号去上班的提醒,Audio-Play
2013年的唐山大地震电影有吗想看下,Alarm-Update
快查下17点有邢台市始发的长途大巴不,FilmTele-Play
我回家了现在上火车了有事联系我我手机不变,Radio-Listen
在这个意义上弗兰科似乎生活在一个拓展了的公众青春期,Radio-Listen
找一个科比的篮球比赛视频来看,Travel-Query
我想马上就收听FM107.8的怀旧好声音电台,Video-Play
记录明天海南气温差,HomeAppliance-Control
给小孩播骆宾王的咏鹅,Calendar-Query
2021年都市爱情电视剧你是我的城池营垒的幕后故事播放一下,FilmTele-Play
要流量还是要这个收费的呀,Weather-Query
查询明天大连紫外线会偏高吗,HomeAppliance-Control
经纪人账号被盗用多位艺人资料疑遭外泄,Travel-Query
大声告诉我农历的九月初八和农历九月初九哪天是重阳节呢,Radio-Listen
我想去拉萨帮我看看还有没有机票,Travel-Query
搜索一下少儿频道昨天下午播出的节目,Other
作者是淮上的广播剧播放一个给我,Video-Play
CCTV7正在直播的炮神40/40帮我切换一下,Weather-Query
快大声让我知道1月12日是星期一还是星期四呢,Travel-Query
播放乔家大院的有声小说,Video-Play
上个星期一的有个台播的天天网事给我打开下,Video-Play
张国强透露为了把儿子和女友都照顾到他一年只接两三部戏,Weather-Query
暂时关闭自动报警系统,Video-Play
播个2008年之前的偶像剧,Music-Play
帮我打开一个百度的网页,HomeAppliance-Control
华商报大家都非常关心你你现在的状况怎么样了,Radio-Listen
在音乐之声找一个楚悦主持的音乐节目,Music-Play
二零零四雅典世界大同,Audio-Play
短信营业厅当月话费查询是不是手机固话费用,Other
继续播惊悚网文绝望教室的第三章,Video-Play
想让空气流通下，帮我把浴霸切换到换气模式,Video-Play
原来黄海波也迷灰太狼拍照之后他还央求摄影老师给他也传张照片,Alarm-Update
电视音量设置为最小可以吗,Music-Play
找个今天的八卦娱乐视频放来看看,Alarm-Update
我现在想听莫言的红高粱第二章,Weather-Query
校园类的广播剧随便播放一个,HomeAppliance-Control
有声的紫襟说的灵异的小说帮我播一下,Music-Play
B站上的哔计划的相关视频快点给我播放,Alarm-Update
唐国强夫人不可能拿灾区人民的钱,Video-Play
播一段鲁迅的经典作品来听,Radio-Listen
几月几号是开斋节,Video-Play
我就想把空调开到二十二度,TVProgram-Play
这位导演正在考虑要不要接受霍比特人剧组的邀请,Music-Play
生活家第17集电视正播呢帮我调一下吧,Music-Play
查查明天是什么节日吗,Calendar-Query
FM969东营生活广播的节目快点儿帮我放一下,Audio-Play
空调太高温度调低点儿,Weather-Query
有去年上的喜剧类电影嘛，播放一个吧,Alarm-Update
帮我调到新闻综合我想看看三农时空,Music-Play
给我放白雪公主的故事来听英文版的,Radio-Listen
记得大后天早上八点叫我接电话,Weather-Query
能不能告诉我明天海淀气温指数怎么样,TVProgram-Play
天气好热啊，打开中央空调吧,TVProgram-Play
查几部B站的高分纪录片来看看,Radio-Listen
十年不算什么二十年三十年后再论成败,Alarm-Update
星期几是腊八节,TVProgram-Play
我想你给我收听频率是九三点九的广东人民广播电台音乐台,Other
这样吧你把具体的地址给我,Music-Play
查下告诉我济南发往潍坊的大巴明天有没有票,Alarm-Update
放千里共良宵就是中国之声的,Calendar-Query
林俊杰的歌曲MV帮我搜索一下,Weather-Query
徐小明获聘任客座教授将宝贵知识传授新传媒人,Weather-Query
收听浙江广播电台的职场江湖,Travel-Query
请播放日本推理小说向日葵不开的夏天,Video-Play
再有五分钟我就要收听FM95.8的山西经济广播,Alarm-Update
放一个赵本山的小品给我听,Radio-Listen
明天海淀还是雷雨天气吗,Radio-Listen
我需要你播放音乐类的湖北人民广播电台交通音乐台,TVProgram-Play
有最热门的科幻动漫吧随机播放一个吧,Travel-Query
请播小E的月半小夜电台,Alarm-Update
她表示自己今年拍了两部戏都拒绝使用一次性筷子以贯彻环保理念,Video-Play
新浪娱乐你说这个让我想到尔东升,Alarm-Update
太安静了，帮我打开电视机,FilmTele-Play
对于自己的此次转型胡军也觉得他真的太完美了,Radio-Listen
石家庄今天晚上会有暴雨吗,HomeAppliance-Control
我想知道石家庄到北京有没有机票,Radio-Listen
我需要你告诉我温州开往北京的高铁今天有票吗,HomeAppliance-Control
收听频率是八七点七的孝感电台交通音乐台可以吗,Travel-Query
速度查一下沈阳飞烟台的飞机起飞了吗,Calendar-Query
橙意购开始了吗帮我打开娱乐看看吧,Radio-Listen
李荣浩李白播放一下呗,Video-Play
不是开了个研究所就代表科学和权威了,HomeAppliance-Control
明天青岛可能会下雨吗,FilmTele-Play
播放连丽如讲的东汉演义,Radio-Listen
我要听九十点零的常州人民广播电台,Radio-Listen
放德语版的很恐怖的那个小说三口棺材,HomeAppliance-Control
播放玛格丽特米切尔的小说飘,TVProgram-Play
是不是厦门飞天津的飞机已经起飞了,Calendar-Query
请续播阴谋与爱情的第五章小说,Travel-Query
添一个1:40喊我去打点滴的提醒,Weather-Query
广西都市4月21日上午八点播放的是什么节目我想看下,Calendar-Query
播一下全民目击这部小说给我听一下,HomeAppliance-Control
美国奇幻电影除了哈利波特，播放什么都可以,Travel-Query
星期几是月亮节,Travel-Query
明天是不是多云,Radio-Listen
我不是很清楚他家里的事不过大部分男人都喜欢打游戏啦,HomeAppliance-Control
快给我播登幽州台歌这首诗,Calendar-Query
你的空调风速能不能变小,Radio-Listen
王力宏火力全开里的歌曲随机来一首可以不,Calendar-Query
能不能不要每天10点提醒我了,Alarm-Update
快乐与痛苦并存的意义,Music-Play
可以帮我回放今早七点的西安新闻吗我想看下,Travel-Query
麻烦播放一首梁静茹的可惜不是你。,TVProgram-Play
CCTV3综艺频道综艺喜乐汇-2020-281帮我查询一下,TVProgram-Play
七夕那天是在几月,Music-Play
二保罗史密斯马克西莫公园乐队,Calendar-Query
小孩要听一去二三里这首诗,Travel-Query
帮我弟弟循环播放一个儿歌歌曲MV,Video-Play
你知道虎牙直播和斗鱼直播要合并的消息吗,Alarm-Update
我要求你快点查一下星期一是哪天啊,Music-Play
福彩双色球第二十二期号码多少多谢,HomeAppliance-Control
请记住在5月6号通知我打消费者热线投诉,FilmTele-Play
设定一个上午10点去看房的闹钟,Weather-Query
明天早上收拾东西这个备忘录你帮我建好了吗,FilmTele-Play
帮我调到河南新闻看看今天的整点新闻节放了没,Alarm-Update
播放一下张鹤伦讲过的相声,Other
请给我放一下俄语版的大林和小林,Weather-Query
